2024-01-03 18:52:38,432 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:52:38,432 - sketch.py - loading sketch from models/mdp/sketches/dpm/switch/sketch.templ ...
2024-01-03 18:52:38,432 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:52:38,440 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:52:38,440 - prism_parser.py - processing hole definitions...
2024-01-03 18:52:38,440 - prism_parser.py - loading properties from models/mdp/sketches/dpm/switch/sketch.props ...
2024-01-03 18:52:38,441 - prism_parser.py - found the following specification: constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:38,441 - jani.py - constructing JANI program...
2024-01-03 18:52:38,526 - jani.py - constructing the quotient...
2024-01-03 18:52:39,269 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:52:39,557 - sketch.py - sketch parsing OK
2024-01-03 18:52:39,558 - sketch.py - constructed explicit quotient having 1594 states and 186170 actions
2024-01-03 18:52:39,558 - sketch.py - found the following specification constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:39,685 - mdp_family.py - associating choices with action labels...
2024-01-03 18:52:39,834 - synthesizer.py - evaluation initiated, design space: 1312200
> Progress 3.357%, elapsed 171 s, estimated 5096 s, iters = {MDP: 44057}
> Progress 3.405%, elapsed 174 s, estimated 5113 s, iters = {MDP: 44683}
> Progress 3.45%, elapsed 177 s, estimated 5133 s, iters = {MDP: 45278}
> Progress 3.494%, elapsed 180 s, estimated 5153 s, iters = {MDP: 45862}
> Progress 3.536%, elapsed 183 s, estimated 5178 s, iters = {MDP: 46407}
> Progress 3.576%, elapsed 186 s, estimated 5205 s, iters = {MDP: 46926}
> Progress 3.617%, elapsed 189 s, estimated 5228 s, iters = {MDP: 47471}
> Progress 3.658%, elapsed 192 s, estimated 5251 s, iters = {MDP: 48010}
> Progress 3.699%, elapsed 195 s, estimated 5275 s, iters = {MDP: 48540}
> Progress 3.773%, elapsed 198 s, estimated 5250 s, iters = {MDP: 49520}
> Progress 3.851%, elapsed 201 s, estimated 5222 s, iters = {MDP: 50544}
> Progress 3.926%, elapsed 204 s, estimated 5199 s, iters = {MDP: 51519}
> Progress 3.998%, elapsed 207 s, estimated 5181 s, iters = {MDP: 52463}
> Progress 4.067%, elapsed 210 s, estimated 5166 s, iters = {MDP: 53372}
> Progress 4.132%, elapsed 213 s, estimated 5157 s, iters = {MDP: 54232}
> Progress 4.197%, elapsed 216 s, estimated 5149 s, iters = {MDP: 55082}
> Progress 4.257%, elapsed 219 s, estimated 5146 s, iters = {MDP: 55874}
> Progress 4.318%, elapsed 222 s, estimated 5144 s, iters = {MDP: 56669}
> Progress 4.377%, elapsed 225 s, estimated 5143 s, iters = {MDP: 57440}
> Progress 4.436%, elapsed 228 s, estimated 5143 s, iters = {MDP: 58215}
> Progress 4.492%, elapsed 231 s, estimated 5145 s, iters = {MDP: 58952}
> Progress 4.54%, elapsed 234 s, estimated 5157 s, iters = {MDP: 59579}
> Progress 4.589%, elapsed 237 s, estimated 5168 s, iters = {MDP: 60219}
> Progress 4.637%, elapsed 240 s, estimated 5178 s, iters = {MDP: 60860}
> Progress 4.681%, elapsed 243 s, estimated 5193 s, iters = {MDP: 61437}
> Progress 4.726%, elapsed 246 s, estimated 5208 s, iters = {MDP: 62018}
> Progress 4.77%, elapsed 249 s, estimated 5223 s, iters = {MDP: 62596}
> Progress 4.812%, elapsed 252 s, estimated 5240 s, iters = {MDP: 63149}
> Progress 4.854%, elapsed 255 s, estimated 5256 s, iters = {MDP: 63708}
> Progress 4.893%, elapsed 258 s, estimated 5275 s, iters = {MDP: 64220}
> Progress 4.933%, elapsed 261 s, estimated 5293 s, iters = {MDP: 64743}
> Progress 5.007%, elapsed 264 s, estimated 5275 s, iters = {MDP: 65710}
> Progress 5.082%, elapsed 267 s, estimated 5257 s, iters = {MDP: 66691}
> Progress 5.155%, elapsed 270 s, estimated 5241 s, iters = {MDP: 67646}
> Progress 5.225%, elapsed 273 s, estimated 5227 s, iters = {MDP: 68575}
> Progress 5.289%, elapsed 276 s, estimated 5221 s, iters = {MDP: 69405}
> Progress 5.346%, elapsed 279 s, estimated 5222 s, iters = {MDP: 70154}
> Progress 5.407%, elapsed 282 s, estimated 5218 s, iters = {MDP: 70962}
> Progress 5.467%, elapsed 285 s, estimated 5216 s, iters = {MDP: 71744}
> Progress 5.524%, elapsed 288 s, estimated 5216 s, iters = {MDP: 72492}
> Progress 5.577%, elapsed 291 s, estimated 5221 s, iters = {MDP: 73187}
> Progress 5.625%, elapsed 294 s, estimated 5229 s, iters = {MDP: 73822}
> Progress 5.671%, elapsed 297 s, estimated 5240 s, iters = {MDP: 74419}
> Progress 5.721%, elapsed 300 s, estimated 5247 s, iters = {MDP: 75076}
> Progress 5.772%, elapsed 303 s, estimated 5252 s, iters = {MDP: 75749}
> Progress 5.82%, elapsed 306 s, estimated 5260 s, iters = {MDP: 76378}
> Progress 5.86%, elapsed 309 s, estimated 5276 s, iters = {MDP: 76902}
> Progress 5.899%, elapsed 312 s, estimated 5292 s, iters = {MDP: 77410}
> Progress 5.939%, elapsed 315 s, estimated 5307 s, iters = {MDP: 77943}
> Progress 5.984%, elapsed 318 s, estimated 5317 s, iters = {MDP: 78531}
> Progress 6.025%, elapsed 321 s, estimated 5331 s, iters = {MDP: 79069}
> Progress 6.065%, elapsed 324 s, estimated 5346 s, iters = {MDP: 79586}
> Progress 6.105%, elapsed 327 s, estimated 5359 s, iters = {MDP: 80123}
> Progress 6.144%, elapsed 330 s, estimated 5374 s, iters = {MDP: 80634}
> Progress 6.194%, elapsed 333 s, estimated 5379 s, iters = {MDP: 81282}
> Progress 6.269%, elapsed 336 s, estimated 5363 s, iters = {MDP: 82264}
> Progress 6.339%, elapsed 339 s, estimated 5351 s, iters = {MDP: 83190}
> Progress 6.408%, elapsed 342 s, estimated 5340 s, iters = {MDP: 84092}
> Progress 6.474%, elapsed 345 s, estimated 5332 s, iters = {MDP: 84957}
> Progress 6.538%, elapsed 348 s, estimated 5326 s, iters = {MDP: 85798}
> Progress 6.598%, elapsed 351 s, estimated 5323 s, iters = {MDP: 86589}
> Progress 6.659%, elapsed 354 s, estimated 5319 s, iters = {MDP: 87391}
> Progress 6.717%, elapsed 357 s, estimated 5318 s, iters = {MDP: 88146}
> Progress 6.773%, elapsed 360 s, estimated 5318 s, iters = {MDP: 88880}
> Progress 6.829%, elapsed 363 s, estimated 5319 s, iters = {MDP: 89615}
> Progress 6.885%, elapsed 366 s, estimated 5319 s, iters = {MDP: 90348}
> Progress 6.937%, elapsed 369 s, estimated 5322 s, iters = {MDP: 91040}
> Progress 6.99%, elapsed 372 s, estimated 5325 s, iters = {MDP: 91733}
> Progress 7.042%, elapsed 375 s, estimated 5328 s, iters = {MDP: 92411}
> Progress 7.09%, elapsed 378 s, estimated 5334 s, iters = {MDP: 93044}
> Progress 7.137%, elapsed 381 s, estimated 5342 s, iters = {MDP: 93654}
> Progress 7.181%, elapsed 384 s, estimated 5350 s, iters = {MDP: 94241}
> Progress 7.228%, elapsed 387 s, estimated 5358 s, iters = {MDP: 94849}
> Progress 7.271%, elapsed 390 s, estimated 5367 s, iters = {MDP: 95415}
> Progress 7.314%, elapsed 393 s, estimated 5377 s, iters = {MDP: 95976}
> Progress 7.354%, elapsed 396 s, estimated 5388 s, iters = {MDP: 96507}
> Progress 7.393%, elapsed 399 s, estimated 5400 s, iters = {MDP: 97017}
> Progress 7.453%, elapsed 402 s, estimated 5397 s, iters = {MDP: 97804}
> Progress 7.528%, elapsed 405 s, estimated 5383 s, iters = {MDP: 98788}
> Progress 7.596%, elapsed 408 s, estimated 5374 s, iters = {MDP: 99683}
> Progress 7.664%, elapsed 411 s, estimated 5366 s, iters = {MDP: 100577}
> Progress 7.729%, elapsed 414 s, estimated 5359 s, iters = {MDP: 101431}
> Progress 7.792%, elapsed 417 s, estimated 5355 s, iters = {MDP: 102259}
> Progress 7.849%, elapsed 420 s, estimated 5354 s, iters = {MDP: 103002}
> Progress 7.909%, elapsed 423 s, estimated 5351 s, iters = {MDP: 103795}
> Progress 7.968%, elapsed 426 s, estimated 5349 s, iters = {MDP: 104567}
> Progress 8.026%, elapsed 429 s, estimated 5348 s, iters = {MDP: 105324}
> Progress 8.08%, elapsed 432 s, estimated 5349 s, iters = {MDP: 106039}
> Progress 8.136%, elapsed 435 s, estimated 5350 s, iters = {MDP: 106770}
> Progress 8.189%, elapsed 438 s, estimated 5352 s, iters = {MDP: 107460}
> Progress 8.24%, elapsed 441 s, estimated 5355 s, iters = {MDP: 108134}
> Progress 8.291%, elapsed 444 s, estimated 5358 s, iters = {MDP: 108801}
> Progress 8.34%, elapsed 447 s, estimated 5363 s, iters = {MDP: 109439}
> Progress 8.383%, elapsed 450 s, estimated 5371 s, iters = {MDP: 110015}
> Progress 8.429%, elapsed 453 s, estimated 5378 s, iters = {MDP: 110608}
> Progress 8.475%, elapsed 456 s, estimated 5384 s, iters = {MDP: 111220}
> Progress 8.516%, elapsed 459 s, estimated 5393 s, iters = {MDP: 111757}
> Progress 8.558%, elapsed 462 s, estimated 5401 s, iters = {MDP: 112310}
> Progress 8.599%, elapsed 465 s, estimated 5411 s, iters = {MDP: 112844}
> Progress 8.637%, elapsed 468 s, estimated 5421 s, iters = {MDP: 113348}
> Progress 8.708%, elapsed 471 s, estimated 5412 s, iters = {MDP: 114273}
> Progress 8.783%, elapsed 474 s, estimated 5400 s, iters = {MDP: 115252}
> Progress 8.853%, elapsed 477 s, estimated 5391 s, iters = {MDP: 116176}
> Progress 8.921%, elapsed 480 s, estimated 5384 s, iters = {MDP: 117064}
> Progress 8.985%, elapsed 483 s, estimated 5379 s, iters = {MDP: 117907}
> Progress 9.048%, elapsed 486 s, estimated 5374 s, iters = {MDP: 118740}
> Progress 9.108%, elapsed 489 s, estimated 5372 s, iters = {MDP: 119527}
> Progress 9.167%, elapsed 492 s, estimated 5370 s, iters = {MDP: 120295}
> Progress 9.224%, elapsed 495 s, estimated 5370 s, iters = {MDP: 121048}
> Progress 9.282%, elapsed 498 s, estimated 5369 s, iters = {MDP: 121801}
> Progress 9.337%, elapsed 501 s, estimated 5369 s, iters = {MDP: 122526}
> Progress 9.391%, elapsed 504 s, estimated 5370 s, iters = {MDP: 123231}
> Progress 9.444%, elapsed 507 s, estimated 5372 s, iters = {MDP: 123931}
> Progress 9.496%, elapsed 510 s, estimated 5374 s, iters = {MDP: 124611}
> Progress 9.545%, elapsed 513 s, estimated 5378 s, iters = {MDP: 125260}
> Progress 9.594%, elapsed 516 s, estimated 5382 s, iters = {MDP: 125900}
> Progress 9.638%, elapsed 519 s, estimated 5388 s, iters = {MDP: 126482}
> Progress 9.684%, elapsed 522 s, estimated 5394 s, iters = {MDP: 127082}
> Progress 9.729%, elapsed 525 s, estimated 5400 s, iters = {MDP: 127665}
> Progress 9.772%, elapsed 528 s, estimated 5407 s, iters = {MDP: 128231}
> Progress 9.815%, elapsed 531 s, estimated 5414 s, iters = {MDP: 128794}
> Progress 9.854%, elapsed 534 s, estimated 5422 s, iters = {MDP: 129318}
> Progress 9.91%, elapsed 537 s, estimated 5422 s, iters = {MDP: 130053}
> Progress 9.983%, elapsed 540 s, estimated 5412 s, iters = {MDP: 131009}
> Progress 10.053%, elapsed 543 s, estimated 5405 s, iters = {MDP: 131927}
> Progress 10.124%, elapsed 546 s, estimated 5397 s, iters = {MDP: 132850}
> Progress 10.185%, elapsed 549 s, estimated 5394 s, iters = {MDP: 133658}
> Progress 10.249%, elapsed 552 s, estimated 5389 s, iters = {MDP: 134494}
> Progress 10.309%, elapsed 555 s, estimated 5387 s, iters = {MDP: 135286}
> Progress 10.371%, elapsed 558 s, estimated 5384 s, iters = {MDP: 136102}
> Progress 10.429%, elapsed 561 s, estimated 5382 s, iters = {MDP: 136863}
> Progress 10.484%, elapsed 564 s, estimated 5383 s, iters = {MDP: 137584}
> Progress 10.539%, elapsed 567 s, estimated 5383 s, iters = {MDP: 138303}
> Progress 10.593%, elapsed 570 s, estimated 5384 s, iters = {MDP: 139011}
> Progress 10.645%, elapsed 573 s, estimated 5386 s, iters = {MDP: 139692}
> Progress 10.697%, elapsed 576 s, estimated 5388 s, iters = {MDP: 140372}
> Progress 10.748%, elapsed 579 s, estimated 5390 s, iters = {MDP: 141048}
> Progress 10.795%, elapsed 582 s, estimated 5395 s, iters = {MDP: 141660}
> Progress 10.841%, elapsed 585 s, estimated 5399 s, iters = {MDP: 142267}
> Progress 10.887%, elapsed 588 s, estimated 5405 s, iters = {MDP: 142862}
> Progress 10.93%, elapsed 591 s, estimated 5411 s, iters = {MDP: 143427}
> Progress 10.973%, elapsed 594 s, estimated 5417 s, iters = {MDP: 143996}
> Progress 11.016%, elapsed 597 s, estimated 5423 s, iters = {MDP: 144566}
> Progress 11.058%, elapsed 600 s, estimated 5429 s, iters = {MDP: 145117}
> Progress 11.098%, elapsed 603 s, estimated 5437 s, iters = {MDP: 145637}
> Progress 11.162%, elapsed 606 s, estimated 5433 s, iters = {MDP: 146472}
> Progress 11.237%, elapsed 609 s, estimated 5423 s, iters = {MDP: 147456}
> Progress 11.306%, elapsed 612 s, estimated 5416 s, iters = {MDP: 148367}
> Progress 11.367%, elapsed 615 s, estimated 5414 s, iters = {MDP: 149165}
> Progress 11.421%, elapsed 618 s, estimated 5415 s, iters = {MDP: 149876}
> Progress 11.471%, elapsed 621 s, estimated 5417 s, iters = {MDP: 150528}
> Progress 11.521%, elapsed 624 s, estimated 5420 s, iters = {MDP: 151190}
> Progress 11.576%, elapsed 627 s, estimated 5420 s, iters = {MDP: 151913}
> Progress 11.633%, elapsed 630 s, estimated 5419 s, iters = {MDP: 152653}
> Progress 11.691%, elapsed 633 s, estimated 5418 s, iters = {MDP: 153412}
> Progress 11.749%, elapsed 636 s, estimated 5417 s, iters = {MDP: 154177}
> Progress 11.807%, elapsed 639 s, estimated 5416 s, iters = {MDP: 154935}
> Progress 11.861%, elapsed 642 s, estimated 5416 s, iters = {MDP: 155654}
> Progress 11.915%, elapsed 645 s, estimated 5417 s, iters = {MDP: 156354}
> Progress 11.969%, elapsed 648 s, estimated 5418 s, iters = {MDP: 157064}
> Progress 12.02%, elapsed 651 s, estimated 5420 s, iters = {MDP: 157728}
> Progress 12.068%, elapsed 654 s, estimated 5423 s, iters = {MDP: 158367}
> Progress 12.114%, elapsed 657 s, estimated 5427 s, iters = {MDP: 158971}
> Progress 12.156%, elapsed 660 s, estimated 5433 s, iters = {MDP: 159520}
> Progress 12.198%, elapsed 663 s, estimated 5439 s, iters = {MDP: 160071}
> Progress 12.242%, elapsed 666 s, estimated 5444 s, iters = {MDP: 160643}
> Progress 12.286%, elapsed 669 s, estimated 5449 s, iters = {MDP: 161221}
> Progress 12.327%, elapsed 672 s, estimated 5455 s, iters = {MDP: 161756}
> Progress 12.384%, elapsed 675 s, estimated 5454 s, iters = {MDP: 162516}
> Progress 12.463%, elapsed 678 s, estimated 5444 s, iters = {MDP: 163541}
> Progress 12.534%, elapsed 681 s, estimated 5437 s, iters = {MDP: 164483}
> Progress 12.606%, elapsed 684 s, estimated 5429 s, iters = {MDP: 165429}
> Progress 12.676%, elapsed 687 s, estimated 5423 s, iters = {MDP: 166346}
> Progress 12.736%, elapsed 690 s, estimated 5421 s, iters = {MDP: 167135}
> Progress 12.794%, elapsed 693 s, estimated 5420 s, iters = {MDP: 167889}
> Progress 12.854%, elapsed 696 s, estimated 5418 s, iters = {MDP: 168681}
> Progress 12.915%, elapsed 699 s, estimated 5416 s, iters = {MDP: 169476}
> Progress 12.974%, elapsed 702 s, estimated 5414 s, iters = {MDP: 170255}
> Progress 13.031%, elapsed 705 s, estimated 5414 s, iters = {MDP: 171006}
> Progress 13.088%, elapsed 708 s, estimated 5413 s, iters = {MDP: 171751}
> Progress 13.141%, elapsed 711 s, estimated 5414 s, iters = {MDP: 172447}
> Progress 13.187%, elapsed 714 s, estimated 5418 s, iters = {MDP: 173050}
> Progress 13.232%, elapsed 717 s, estimated 5422 s, iters = {MDP: 173633}
> Progress 13.277%, elapsed 720 s, estimated 5426 s, iters = {MDP: 174230}
> Progress 13.322%, elapsed 723 s, estimated 5431 s, iters = {MDP: 174818}
> Progress 13.364%, elapsed 726 s, estimated 5436 s, iters = {MDP: 175370}
> Progress 13.409%, elapsed 729 s, estimated 5440 s, iters = {MDP: 175957}
> Progress 13.45%, elapsed 732 s, estimated 5446 s, iters = {MDP: 176497}
> Progress 13.49%, elapsed 735 s, estimated 5452 s, iters = {MDP: 177023}
> Progress 13.527%, elapsed 738 s, estimated 5459 s, iters = {MDP: 177511}
> Progress 13.564%, elapsed 741 s, estimated 5467 s, iters = {MDP: 177995}
> Progress 13.621%, elapsed 744 s, estimated 5466 s, iters = {MDP: 178739}
> Progress 13.695%, elapsed 747 s, estimated 5458 s, iters = {MDP: 179712}
> Progress 13.764%, elapsed 750 s, estimated 5453 s, iters = {MDP: 180613}
> Progress 13.829%, elapsed 753 s, estimated 5449 s, iters = {MDP: 181473}
> Progress 13.891%, elapsed 756 s, estimated 5446 s, iters = {MDP: 182290}
> Progress 13.953%, elapsed 759 s, estimated 5443 s, iters = {MDP: 183094}
> Progress 14.009%, elapsed 762 s, estimated 5443 s, iters = {MDP: 183839}
> Progress 14.063%, elapsed 765 s, estimated 5443 s, iters = {MDP: 184544}
> Progress 14.114%, elapsed 768 s, estimated 5445 s, iters = {MDP: 185209}
> Progress 14.168%, elapsed 771 s, estimated 5445 s, iters = {MDP: 185923}
> Progress 14.222%, elapsed 774 s, estimated 5446 s, iters = {MDP: 186623}
> Progress 14.274%, elapsed 777 s, estimated 5447 s, iters = {MDP: 187310}
> Progress 14.327%, elapsed 780 s, estimated 5448 s, iters = {MDP: 188002}
> Progress 14.376%, elapsed 783 s, estimated 5450 s, iters = {MDP: 188647}
> Progress 14.426%, elapsed 786 s, estimated 5452 s, iters = {MDP: 189309}
> Progress 14.475%, elapsed 789 s, estimated 5454 s, iters = {MDP: 189947}
> Progress 14.522%, elapsed 792 s, estimated 5457 s, iters = {MDP: 190567}
> Progress 14.564%, elapsed 795 s, estimated 5462 s, iters = {MDP: 191111}
> Progress 14.604%, elapsed 798 s, estimated 5468 s, iters = {MDP: 191639}
> Progress 14.648%, elapsed 801 s, estimated 5472 s, iters = {MDP: 192222}
> Progress 14.69%, elapsed 804 s, estimated 5477 s, iters = {MDP: 192769}
> Progress 14.733%, elapsed 807 s, estimated 5481 s, iters = {MDP: 193329}
> Progress 14.774%, elapsed 810 s, estimated 5486 s, iters = {MDP: 193866}
> Progress 14.808%, elapsed 813 s, estimated 5494 s, iters = {MDP: 194321}
> Progress 14.873%, elapsed 816 s, estimated 5490 s, iters = {MDP: 195166}
> Progress 14.944%, elapsed 819 s, estimated 5484 s, iters = {MDP: 196100}
> Progress 15.008%, elapsed 822 s, estimated 5481 s, iters = {MDP: 196944}
> Progress 15.069%, elapsed 825 s, estimated 5478 s, iters = {MDP: 197746}
> Progress 15.125%, elapsed 828 s, estimated 5478 s, iters = {MDP: 198476}
> Progress 15.185%, elapsed 831 s, estimated 5476 s, iters = {MDP: 199266}
> Progress 15.242%, elapsed 834 s, estimated 5476 s, iters = {MDP: 200007}
> Progress 15.299%, elapsed 837 s, estimated 5474 s, iters = {MDP: 200765}
> Progress 15.353%, elapsed 840 s, estimated 5475 s, iters = {MDP: 201466}
> Progress 15.407%, elapsed 843 s, estimated 5475 s, iters = {MDP: 202178}
> Progress 15.459%, elapsed 846 s, estimated 5476 s, iters = {MDP: 202855}
> Progress 15.509%, elapsed 849 s, estimated 5478 s, iters = {MDP: 203517}
> Progress 15.56%, elapsed 852 s, estimated 5479 s, iters = {MDP: 204190}
> Progress 15.606%, elapsed 855 s, estimated 5482 s, iters = {MDP: 204786}
> Progress 15.651%, elapsed 858 s, estimated 5486 s, iters = {MDP: 205383}
> Progress 15.699%, elapsed 861 s, estimated 5488 s, iters = {MDP: 206014}
> Progress 15.746%, elapsed 864 s, estimated 5491 s, iters = {MDP: 206623}
> Progress 15.79%, elapsed 867 s, estimated 5494 s, iters = {MDP: 207208}
> Progress 15.833%, elapsed 870 s, estimated 5499 s, iters = {MDP: 207764}
> Progress 15.877%, elapsed 873 s, estimated 5502 s, iters = {MDP: 208347}
> Progress 15.919%, elapsed 876 s, estimated 5507 s, iters = {MDP: 208899}
> Progress 15.961%, elapsed 879 s, estimated 5511 s, iters = {MDP: 209445}
> Progress 16.001%, elapsed 882 s, estimated 5516 s, iters = {MDP: 209978}
> Progress 16.037%, elapsed 885 s, estimated 5522 s, iters = {MDP: 210441}
> Progress 16.092%, elapsed 888 s, estimated 5522 s, iters = {MDP: 211164}
> Progress 16.162%, elapsed 891 s, estimated 5517 s, iters = {MDP: 212088}
> Progress 16.224%, elapsed 894 s, estimated 5514 s, iters = {MDP: 212903}
> Progress 16.285%, elapsed 897 s, estimated 5512 s, iters = {MDP: 213705}
> Progress 16.349%, elapsed 900 s, estimated 5509 s, iters = {MDP: 214542}
> Progress 16.411%, elapsed 903 s, estimated 5506 s, iters = {MDP: 215349}
> Progress 16.469%, elapsed 906 s, estimated 5505 s, iters = {MDP: 216109}
> Progress 16.527%, elapsed 909 s, estimated 5504 s, iters = {MDP: 216878}
> Progress 16.584%, elapsed 912 s, estimated 5503 s, iters = {MDP: 217629}
> Progress 16.637%, elapsed 915 s, estimated 5503 s, iters = {MDP: 218323}
> Progress 16.687%, elapsed 918 s, estimated 5505 s, iters = {MDP: 218969}
> Progress 16.739%, elapsed 921 s, estimated 5506 s, iters = {MDP: 219654}
> Progress 16.791%, elapsed 924 s, estimated 5507 s, iters = {MDP: 220336}
> Progress 16.84%, elapsed 927 s, estimated 5509 s, iters = {MDP: 220977}
> Progress 16.889%, elapsed 930 s, estimated 5510 s, iters = {MDP: 221620}
> Progress 16.937%, elapsed 933 s, estimated 5512 s, iters = {MDP: 222261}
