ERROR (SpiritErrorHandler.h:27): Parsing error at 3:1:  expecting <model type>, here:
	@type: POMDP
True	2.17        1.963        1.963        2.344        0.325
False	2.17        1.963        1.963        2.344        0.325
True	2.12        1.963        1.963        2.551        0.215
False	2.12        1.963        1.963        2.551        0.215
True	2.228        1.963        1.963        2.344        0.414
False	2.228        1.963        1.963        2.344        0.414
True	1.918        1.963        1.963        2.344        0.048
False	1.918        1.963        1.963        2.344        0.048
True	2.096        1.932        1.932        2.128        0.421
False	2.096        1.932        1.932        2.128        0.421
True	1.83        1.963        1.963        1.774        -0.096
False	1.83        1.963        1.963        1.773        -0.096
True	2.097        1.932        1.932        2.221        -0.561
False	2.097        1.932        1.932        2.221        -0.561
True	2.152        1.963        1.963        2.344        0.329
False	2.152        1.963        1.963        2.344        0.329
True	1.76        1.797        1.963        1.774        -0.262
False	1.76        1.797        1.963        1.773        -0.262
True	1.944        1.932        1.932        2.128        -0.19
False	1.944        1.932        1.932        2.128        -0.19
True	1.942        1.932        1.932        1.802        -0.493
False	1.942        1.932        1.932        1.739        -0.493
True	1.931        1.932        1.932        1.802        -0.303
False	1.931        1.932        1.932        1.739        -0.303
True	1.919        1.963        1.963        1.909        -0.332
False	1.838        1.963        1.963        1.978        -0.332
True	1.907        1.963        1.963        1.909        -0.264
False	1.815        1.963        1.963        1.978        -0.264
True	2.024        1.932        1.932        2.128        -0.111
False	2.024        1.932        1.932        2.128        -0.111
True	1.996        1.932        1.932        2.128        0.307
False	1.996        1.932        1.932        2.128        0.307
True	2.36        1.963        1.963        2.344        0.553
False	2.36        1.963        1.963        2.344        0.553
True	2.404        2.1        1.963        2.344        0.575
False	2.404        2.1        1.963        2.344        0.575
True	1.93        1.963        1.963        2.344        0.057
False	1.93        1.963        1.963        2.344        0.057
True	1.771        1.797        1.963        1.774        -0.254
False	1.771        1.797        1.963        1.773        -0.254
True	2.338        1.963        1.963        2.344        0.536
False	2.338        1.963        1.963        2.344        0.536
True	2.255        1.963        1.963        2.551        0.361
False	2.255        1.963        1.963        2.551        0.361
True	2.165        1.963        1.963        2.344        0.312
False	2.165        1.963        1.963        2.381        0.312
True	1.793        1.932        1.932        1.802        -0.216
False	1.739        1.932        1.932        1.739        -0.216
True	2.157        1.932        1.932        2.221        -0.819
False	2.203        1.932        1.932        2.221        -0.819
True	2.01        1.932        1.932        2.128        0.042
False	2.01        1.932        1.932        2.128        0.042
True	2.024        1.932        1.932        2.128        -0.038
False	2.024        1.932        1.932        2.128        -0.038
True	2.154        1.932        1.932        2.221        -0.802
False	2.204        1.932        1.932        2.221        -0.802
True	1.824        1.963        1.963        1.774        -0.245
False	1.824        1.963        1.963        1.773        -0.245
True	2.091        1.932        1.932        2.221        -0.589
False	2.091        1.932        1.932        2.221        -0.589
True	1.757        1.963        1.963        1.774        -0.263
False	1.757        1.963        1.963        1.773        -0.263
True	2.511        1.963        1.963        2.551        0.596
False	2.511        1.963        1.963        2.551        0.596
True	1.802        1.852        1.932        1.802        -0.216
False	1.736        1.852        1.932        1.739        -0.216
True	1.805        1.963        1.963        1.774        -0.253
False	1.805        1.963        1.963        1.773        -0.253
True	1.836        1.932        1.932        1.802        -0.285
False	1.809        1.932        1.932        1.739        -0.285
True	1.892        1.963        1.963        1.774        -0.009
False	1.892        1.963        1.963        1.773        -0.009
True	1.859        1.932        1.932        1.802        -0.362
False	1.859        1.932        1.932        1.739        -0.362
True	1.998        1.932        1.932        2.128        0.308
False	1.998        1.932        1.932        2.128        0.308
True	1.868        1.932        1.932        1.802        -0.361
False	1.868        1.932        1.932        1.739        -0.361
True	2.251        1.963        1.963        2.551        0.312
False	2.251        1.963        1.963        2.551        0.312
True	2.338        1.963        1.963        2.344        0.544
False	2.338        1.963        1.963        2.344        0.544
True	2.362        1.963        1.963        2.344        0.557
False	2.39        1.963        1.963        2.344        0.557
True	2.043        1.932        1.932        2.128        0.36
False	2.043        1.932        1.932        2.128        0.36
True	1.796        1.963        1.963        1.774        -0.259
False	1.796        1.963        1.963        1.773        -0.259
True	2.126        1.932        1.932        2.221        -0.789
False	2.173        1.932        1.932        2.221        -0.789
True	2.383        1.963        1.963        2.344        0.567
False	2.383        1.963        1.963        2.344        0.567
True	1.873        1.963        1.963        1.774        -0.013
False	1.873        1.963        1.963        1.773        -0.013
True	1.823        1.852        1.932        1.802        -0.2
False	1.783        1.852        1.932        1.739        -0.2
True	1.865        1.932        1.932        2.128        0.012
False	1.865        1.932        1.932        2.128        0.012
True	2.3        2.1        1.963        2.344        0.487
False	2.3        2.1        1.963        2.344        0.487
True	1.914        1.963        1.963        2.344        0.051
False	1.914        1.963        1.963        2.344        0.051
True	1.757        1.932        1.932        1.802        -0.219
False	1.757        1.932        1.932        1.739        -0.219
True	2.036        1.932        1.932        2.221        -0.7
False	2.086        1.932        1.932        2.221        -0.7
True	2.131        1.963        1.963        2.551        0.184
False	2.131        1.963        1.963        2.551        0.184
True	1.903        1.963        1.963        1.774        0.014
False	1.903        1.963        1.963        1.773        0.014
True	1.845        1.932        1.932        1.802        -0.139
False	1.807        1.932        1.932        1.739        -0.139
True	1.868        1.963        1.963        1.914        -0.277
False	1.777        1.963        1.963        1.978        -0.277
True	1.974        1.932        1.932        2.128        0.23
False	1.974        1.932        1.932        2.128        0.23
True	1.977        1.932        1.932        2.221        -0.348
False	1.977        1.932        1.932        2.221        -0.348
True	2.365        2.1        1.963        2.344        0.559
False	2.365        2.1        1.963        2.344        0.559
True	2.174        1.963        1.963        2.344        0.338
False	2.174        1.963        1.963        2.344        0.338
True	1.858        1.932        1.932        1.802        -0.221
False	1.858        1.932        1.932        1.739        -0.221
True	1.881        1.963        1.963        1.774        -0.209
False	1.774        1.963        1.963        1.773        -0.209
True	1.804        1.932        1.932        1.802        -0.22
False	1.741        1.932        1.932        1.739        -0.22
True	2.141        1.932        1.932        2.221        -0.778
False	2.19        1.932        1.932        2.221        -0.778
True	2.302        1.963        1.963        2.344        0.486
False	2.302        1.963        1.963        2.344        0.486
True	2.335        1.963        1.963        2.344        0.524
False	2.335        1.963        1.963        2.344        0.524
True	1.928        1.932        1.932        2.128        -0.239
False	1.928        1.932        1.932        2.128        -0.239
True	2.043        1.932        1.932        2.183        -0.711
False	2.052        1.932        1.932        2.221        -0.711
True	2.22        1.932        1.932        2.221        -0.848
False	2.22        1.932        1.932        2.221        -0.848
True	2.09        1.963        1.963        2.344        0.236
False	2.09        1.963        1.963        2.344        0.236
True	2.204        1.963        1.963        2.344        0.384
False	2.204        1.963        1.963        2.344        0.384
True	1.781        1.963        1.963        1.774        -0.252
False	1.781        1.963        1.963        1.773        -0.252
True	2.343        1.963        1.963        2.344        0.535
False	2.343        1.963        1.963        2.344        0.535
True	2.298        1.963        1.963        2.344        0.47
False	2.298        1.963        1.963        2.344        0.47
True	2.089        1.932        1.932        2.128        0.413
False	2.089        1.932        1.932        2.128        0.413
True	1.758        1.963        1.963        1.774        -0.263
False	1.758        1.963        1.963        1.773        -0.263
True	1.921        1.932        1.932        2.128        0.176
False	1.921        1.932        1.932        2.128        0.176
True	2.545        2.1        1.963        2.551        0.635
False	2.545        2.1        1.963        2.551        0.635
True	1.883        1.932        1.932        2.128        0.038
False	1.883        1.932        1.932        2.128        0.038
True	2.07        1.932        1.932        2.128        0.391
False	2.07        1.932        1.932        2.128        0.391
True	1.884        1.932        1.932        1.802        -0.453
False	1.884        1.932        1.932        1.739        -0.453
True	2.126        1.932        1.932        2.128        0.456
False	2.126        1.932        1.932        2.128        0.456
True	1.828        1.963        1.963        1.774        -0.266
False	1.828        1.963        1.963        1.773        -0.266
True	1.918        1.797        1.963        1.909        -0.281
False	1.978        1.797        1.963        1.978        -0.281
True	1.89        1.932        1.932        2.128        -0.146
False	1.89        1.932        1.932        2.128        -0.146
True	2.461        1.963        1.963        2.551        0.579
False	2.461        1.963        1.963        2.551        0.579
True	2.104        1.963        1.963        2.551        0.065
False	2.104        1.963        1.963        2.551        0.065
True	2.392        2.1        1.963        2.551        0.507
False	2.392        2.1        1.963        2.551        0.507
True	1.752        1.932        1.932        1.802        -0.228
False	1.752        1.932        1.932        1.739        -0.228
True	1.764        1.963        1.963        1.774        -0.263
False	1.764        1.963        1.963        1.773        -0.263
True	2.337        2.1        1.963        2.344        0.528
False	2.337        2.1        1.963        2.344        0.528
True	1.893        1.963        1.963        1.774        -0.229
False	1.789        1.963        1.963        1.773        -0.229
True	2.306        1.797        1.963        2.344        0.506
False	2.306        1.797        1.963        2.344        0.506
True	1.953        1.963        1.963        2.344        0.001
False	1.953        1.963        1.963        2.344        0.001
True	1.797        1.932        1.932        1.802        -0.288
False	1.797        1.932        1.932        1.739        -0.288
True	1.849        1.963        1.963        1.909        -0.226
False	1.849        1.963        1.963        1.978        -0.226
True	2.11        1.932        1.932        2.128        0.438
False	2.11        1.932        1.932        2.128        0.438
True	1.76        1.932        1.932        1.802        -0.216
False	1.759        1.932        1.932        1.739        -0.216
True	1.759        1.963        1.963        1.774        -0.266
False	1.759        1.963        1.963        1.773        -0.266
True	2.019        1.932        1.932        2.128        0.333
False	2.019        1.932        1.932        2.128        0.333
True	2.37        2.1        1.963        2.551        0.462
False	2.37        2.1        1.963        2.551        0.462
True	1.999        1.932        1.932        2.128        0.023
False	1.999        1.932        1.932        2.128        0.023
True	2.147        1.932        1.932        2.183        -0.792
False	2.196        1.932        1.932        2.221        -0.792
True	1.897        1.797        1.963        1.978        -0.282
False	1.808        1.797        1.963        1.978        -0.282
True	1.904        1.797        1.963        1.925        -0.284
False	1.969        1.797        1.963        1.978        -0.284
True	2.364        1.963        1.963        2.344        0.559
False	2.364        1.963        1.963        2.344        0.559
True	2.268        1.963        1.963        2.344        0.441
False	2.268        1.963        1.963        2.381        0.441
True	1.842        1.932        1.932        1.802        -0.374
False	1.842        1.932        1.932        1.739        -0.374
True	1.826        1.932        1.932        1.802        -0.095
