2024-01-03 01:12:29,612 - cli.py - This is Paynt version 0.1.0.
2024-01-03 01:12:29,612 - sketch.py - loading sketch from models/mdp/sketches/uav/operator-roz-big-v3/sketch.templ ...
2024-01-03 01:12:29,612 - sketch.py - assuming sketch in PRISM format...
2024-01-03 01:12:29,620 - prism_parser.py - PRISM model type: MDP
2024-01-03 01:12:29,620 - prism_parser.py - processing hole definitions...
2024-01-03 01:12:29,620 - prism_parser.py - loading properties from models/mdp/sketches/uav/operator-roz-big-v3/sketch.props ...
2024-01-03 01:12:29,621 - prism_parser.py - found the following specification: constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-03 01:12:29,621 - jani.py - constructing JANI program...
2024-01-03 01:12:29,651 - jani.py - constructing the quotient...
2024-01-03 01:12:30,192 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 01:12:30,319 - sketch.py - sketch parsing OK
2024-01-03 01:12:30,319 - sketch.py - constructed explicit quotient having 9007 states and 139969 actions
2024-01-03 01:12:30,320 - sketch.py - found the following specification constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-03 01:12:30,386 - mdp_family.py - associating choices with action labels...
2024-01-03 01:12:30,549 - synthesizer.py - evaluation initiated, design space: 1620000
> Progress 6.651%, elapsed 3 s, estimated 47 s, iters = {game: 20, MDP: 19}
> Progress 53.256%, elapsed 310 s, estimated 583 s, iters = {game: 7653, MDP: 9577}
> Progress 53.288%, elapsed 313 s, estimated 589 s, iters = {game: 7769, MDP: 9713}
> Progress 53.31%, elapsed 316 s, estimated 594 s, iters = {game: 7885, MDP: 9859}
> Progress 53.327%, elapsed 319 s, estimated 600 s, iters = {game: 8000, MDP: 9994}
> Progress 54.367%, elapsed 322 s, estimated 594 s, iters = {game: 8114, MDP: 10133}
> Progress 54.399%, elapsed 326 s, estimated 599 s, iters = {game: 8231, MDP: 10269}
> Progress 54.421%, elapsed 329 s, estimated 604 s, iters = {game: 8347, MDP: 10416}
> Progress 54.438%, elapsed 332 s, estimated 609 s, iters = {game: 8461, MDP: 10550}
> Progress 55.44%, elapsed 335 s, estimated 604 s, iters = {game: 8583, MDP: 10713}
> Progress 55.471%, elapsed 338 s, estimated 609 s, iters = {game: 8707, MDP: 10866}
> Progress 55.488%, elapsed 341 s, estimated 614 s, iters = {game: 8826, MDP: 11025}
> Progress 55.504%, elapsed 344 s, estimated 619 s, iters = {game: 8950, MDP: 11176}
> Progress 55.52%, elapsed 347 s, estimated 625 s, iters = {game: 9066, MDP: 11331}
2024-01-03 01:18:20,589 - policy_tree.py - game YES but nor forall family of size 25
2024-01-03 01:18:20,616 - policy_tree.py - game YES but nor forall family of size 15
> Progress 55.53%, elapsed 350 s, estimated 630 s, iters = {game: 9188, MDP: 11487}
2024-01-03 01:18:20,643 - policy_tree.py - game YES but nor forall family of size 10
2024-01-03 01:18:20,668 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:18:20,748 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:18:20,828 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:18:20,908 - policy_tree.py - game YES but nor forall family of size 10
2024-01-03 01:18:20,933 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:18:21,009 - policy_tree.py - game YES but nor forall family of size 5
> Progress 55.539%, elapsed 353 s, estimated 635 s, iters = {game: 9305, MDP: 11649}
> Progress 55.551%, elapsed 356 s, estimated 641 s, iters = {game: 9423, MDP: 11805}
> Progress 56.414%, elapsed 359 s, estimated 636 s, iters = {game: 9567, MDP: 11985}
> Progress 56.475%, elapsed 362 s, estimated 641 s, iters = {game: 9719, MDP: 12185}
> Progress 56.505%, elapsed 365 s, estimated 646 s, iters = {game: 9868, MDP: 12386}
> Progress 56.523%, elapsed 368 s, estimated 651 s, iters = {game: 10019, MDP: 12578}
> Progress 56.539%, elapsed 371 s, estimated 656 s, iters = {game: 10169, MDP: 12768}
2024-01-03 01:18:43,727 - policy_tree.py - game YES but nor forall family of size 50
2024-01-03 01:18:43,751 - policy_tree.py - game YES but nor forall family of size 25
2024-01-03 01:18:43,774 - policy_tree.py - game YES but nor forall family of size 15
2024-01-03 01:18:43,798 - policy_tree.py - game YES but nor forall family of size 10
2024-01-03 01:18:43,823 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:18:43,866 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:18:43,896 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:18:43,958 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:18:44,000 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:18:44,045 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:18:44,076 - policy_tree.py - game YES but nor forall family of size 10
2024-01-03 01:18:44,098 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:18:44,142 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:18:44,171 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:18:44,214 - policy_tree.py - game YES but nor forall family of size 2
> Progress 56.551%, elapsed 374 s, estimated 661 s, iters = {game: 10300, MDP: 12943}
> Progress 56.564%, elapsed 377 s, estimated 666 s, iters = {game: 10433, MDP: 13113}
> Progress 56.577%, elapsed 380 s, estimated 671 s, iters = {game: 10561, MDP: 13290}
> Progress 56.587%, elapsed 383 s, estimated 677 s, iters = {game: 10688, MDP: 13442}
> Progress 56.6%, elapsed 386 s, estimated 682 s, iters = {game: 10809, MDP: 13606}
> Progress 56.61%, elapsed 389 s, estimated 687 s, iters = {game: 10932, MDP: 13761}
> Progress 56.625%, elapsed 392 s, estimated 692 s, iters = {game: 11057, MDP: 13921}
> Progress 56.642%, elapsed 395 s, estimated 697 s, iters = {game: 11178, MDP: 14069}
> Progress 56.666%, elapsed 398 s, estimated 702 s, iters = {game: 11299, MDP: 14237}
> Progress 57.64%, elapsed 401 s, estimated 696 s, iters = {game: 11444, MDP: 14418}
2024-01-03 01:19:14,026 - policy_tree.py - game YES but nor forall family of size 25
2024-01-03 01:19:14,051 - policy_tree.py - game YES but nor forall family of size 15
2024-01-03 01:19:14,076 - policy_tree.py - game YES but nor forall family of size 10
2024-01-03 01:19:14,103 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:14,153 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:14,186 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:14,239 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:14,272 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:14,322 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:14,356 - policy_tree.py - game YES but nor forall family of size 10
2024-01-03 01:19:14,381 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:14,429 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:14,462 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:14,510 - policy_tree.py - game YES but nor forall family of size 2
> Progress 57.662%, elapsed 404 s, estimated 700 s, iters = {game: 11570, MDP: 14589}
2024-01-03 01:19:16,905 - policy_tree.py - game YES but nor forall family of size 25
2024-01-03 01:19:16,929 - policy_tree.py - game YES but nor forall family of size 15
2024-01-03 01:19:16,952 - policy_tree.py - game YES but nor forall family of size 10
2024-01-03 01:19:16,976 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:17,025 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:17,059 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:17,110 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:17,143 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:17,191 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:17,224 - policy_tree.py - game YES but nor forall family of size 10
2024-01-03 01:19:17,248 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:17,296 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:17,326 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:17,372 - policy_tree.py - game YES but nor forall family of size 2
> Progress 57.679%, elapsed 407 s, estimated 705 s, iters = {game: 11687, MDP: 14744}
> Progress 57.693%, elapsed 410 s, estimated 711 s, iters = {game: 11805, MDP: 14906}
2024-01-03 01:19:23,025 - policy_tree.py - game YES but nor forall family of size 50
2024-01-03 01:19:23,049 - policy_tree.py - game YES but nor forall family of size 25
2024-01-03 01:19:23,073 - policy_tree.py - game YES but nor forall family of size 15
2024-01-03 01:19:23,097 - policy_tree.py - game YES but nor forall family of size 10
2024-01-03 01:19:23,120 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:23,167 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:23,197 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:23,252 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:23,291 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:23,347 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:23,383 - policy_tree.py - game YES but nor forall family of size 10
2024-01-03 01:19:23,409 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:23,458 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:23,494 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:23,546 - policy_tree.py - game YES but nor forall family of size 2
> Progress 57.709%, elapsed 413 s, estimated 716 s, iters = {game: 11925, MDP: 15054}
> Progress 57.719%, elapsed 416 s, estimated 721 s, iters = {game: 12043, MDP: 15217}
2024-01-03 01:19:27,663 - policy_tree.py - game YES but nor forall family of size 25
2024-01-03 01:19:27,688 - policy_tree.py - game YES but nor forall family of size 15
2024-01-03 01:19:27,712 - policy_tree.py - game YES but nor forall family of size 10
2024-01-03 01:19:27,737 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:27,787 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:27,822 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:27,871 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:27,907 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:27,956 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:27,989 - policy_tree.py - game YES but nor forall family of size 10
2024-01-03 01:19:28,014 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:28,062 - policy_tree.py - game YES but nor forall family of size 2
2024-01-03 01:19:28,095 - policy_tree.py - game YES but nor forall family of size 5
2024-01-03 01:19:28,143 - policy_tree.py - game YES but nor forall family of size 2
> Progress 57.729%, elapsed 419 s, estimated 726 s, iters = {game: 12161, MDP: 15376}
> Progress 57.743%, elapsed 422 s, estimated 731 s, iters = {game: 12277, MDP: 15536}
> Progress 57.752%, elapsed 425 s, estimated 736 s, iters = {game: 12396, MDP: 15690}
> Progress 57.768%, elapsed 428 s, estimated 741 s, iters = {game: 12515, MDP: 15844}
> Progress 58.812%, elapsed 431 s, estimated 733 s, iters = {game: 12636, MDP: 15985}
> Progress 58.843%, elapsed 434 s, estimated 738 s, iters = {game: 12748, MDP: 16116}
> Progress 58.86%, elapsed 437 s, estimated 742 s, iters = {game: 12861, MDP: 16258}
> Progress 58.877%, elapsed 440 s, estimated 747 s, iters = {game: 12975, MDP: 16394}
> Progress 59.922%, elapsed 443 s, estimated 739 s, iters = {game: 13087, MDP: 16531}
> Progress 59.954%, elapsed 446 s, estimated 744 s, iters = {game: 13203, MDP: 16663}
> Progress 59.971%, elapsed 449 s, estimated 749 s, iters = {game: 13314, MDP: 16800}
> Progress 59.987%, elapsed 452 s, estimated 754 s, iters = {game: 13424, MDP: 16938}
> Progress 60.0%, elapsed 455 s, estimated 759 s, iters = {game: 13511, MDP: 17051}
> Progress 80.0%, elapsed 458 s, estimated 573 s, iters = {game: 13529, MDP: 17068}
> Progress 86.658%, elapsed 461 s, estimated 532 s, iters = {game: 13553, MDP: 17092}
> Progress 86.666%, elapsed 464 s, estimated 536 s, iters = {game: 13574, MDP: 17123}
> Progress 95.548%, elapsed 467 s, estimated 489 s, iters = {game: 13610, MDP: 17165}
> Progress 96.536%, elapsed 470 s, estimated 487 s, iters = {game: 13651, MDP: 17219}
> Progress 96.6%, elapsed 473 s, estimated 490 s, iters = {game: 13688, MDP: 17267}
> Progress 96.628%, elapsed 476 s, estimated 493 s, iters = {game: 13723, MDP: 17312}
> Progress 96.644%, elapsed 479 s, estimated 496 s, iters = {game: 13758, MDP: 17351}
> Progress 96.652%, elapsed 482 s, estimated 499 s, iters = {game: 13793, MDP: 17392}
> Progress 96.659%, elapsed 485 s, estimated 502 s, iters = {game: 13827, MDP: 17437}
> Progress 96.661%, elapsed 488 s, estimated 505 s, iters = {game: 13861, MDP: 17475}
> Progress 97.74%, elapsed 491 s, estimated 503 s, iters = {game: 13897, MDP: 17519}
> Progress 97.77%, elapsed 494 s, estimated 506 s, iters = {game: 13931, MDP: 17565}
--------------------
Policy tree summary:
found 5040 satisfying policies for 1612610/1620000 family members (100.0%)
policy tree has 17590 nodes, 8829 of them are leaves:
	  solvable leaves: 5040 (avg.size: 320.0)
	unsolvable leaves: 3789 (avg.size: 2.0)
	 singleton leaves: 3635
2024-01-03 01:20:48,031 - policy_tree.py - post-processing the policy tree...
2024-01-03 01:20:48,031 - policy_tree.py - merging unsat siblings...
2024-01-03 01:20:48,116 - policy_tree.py - merged 0 pairs
2024-01-03 01:20:48,116 - policy_tree.py - merging compatible siblings...
2024-01-03 01:20:48,298 - policy_tree.py - merged 96 pairs
--------------------
Policy tree summary:
found 4975 satisfying policies for 1612610/1620000 family members (100.0%)
policy tree has 17494 nodes, 8764 of them are leaves:
	  solvable leaves: 4975 (avg.size: 324.1)
	unsolvable leaves: 3789 (avg.size: 2.0)
	 singleton leaves: 3615
2024-01-03 01:20:48,859 - synthesizer.py - evaluation finished
--------------------
Synthesis summary:
constraint 1: P>=7/10 [F ((w1 & w2) & w6)]

method: AR (policy tree), synthesis time: 498.31 s
number of holes: 8, family size: 1620000, quotient: 9007 states / 139969 actions
explored: 100 %
Game stats: avg MDP size: 1414, iterations: 13955
MDP stats: avg MDP size: 1219, iterations: 17590

satisfied 1612610/1620000 members (100%)
--------------------
