2024-01-09 22:39:53,774 - cli.py - This is Paynt version 0.1.0.
2024-01-09 22:39:53,774 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/uav-operator-roz-workload/sketch.templ ...
2024-01-09 22:39:53,774 - sketch.py - assuming sketch in PRISM format...
2024-01-09 22:39:53,782 - prism_parser.py - PRISM model type: MDP
2024-01-09 22:39:53,782 - prism_parser.py - processing hole definitions...
2024-01-09 22:39:53,782 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/uav-operator-roz-workload/sketch.props ...
2024-01-09 22:39:53,784 - prism_parser.py - found the following specification: constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-09 22:39:53,784 - jani.py - constructing JANI program...
2024-01-09 22:39:53,818 - jani.py - constructing the quotient...
2024-01-09 22:39:54,440 - jani.py - associating choices of the quotient with hole assignments...
2024-01-09 22:39:54,588 - sketch.py - sketch parsing OK
2024-01-09 22:39:54,589 - sketch.py - constructed explicit quotient having 9007 states and 139969 actions
2024-01-09 22:39:54,589 - sketch.py - found the following specification constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-09 22:39:54,669 - mdp_family.py - associating choices with action labels...
2024-01-09 22:39:54,842 - synthesizer.py - evaluation initiated, design space: 1620000
> Progress 6.635%, elapsed 3 s, estimated 45 s, iters = {game: 19, MDP: 8}
> Progress 35.493%, elapsed 100 s, estimated 281 s, iters = {game: 1419, MDP: 1286}
> Progress 35.547%, elapsed 103 s, estimated 289 s, iters = {game: 1481, MDP: 1350}
> Progress 36.505%, elapsed 106 s, estimated 290 s, iters = {game: 1548, MDP: 1416}
> Progress 36.538%, elapsed 109 s, estimated 298 s, iters = {game: 1629, MDP: 1498}
> Progress 36.582%, elapsed 112 s, estimated 306 s, iters = {game: 1700, MDP: 1559}
> Progress 36.597%, elapsed 115 s, estimated 314 s, iters = {game: 1768, MDP: 1627}
> Progress 36.612%, elapsed 118 s, estimated 322 s, iters = {game: 1835, MDP: 1699}
> Progress 36.621%, elapsed 121 s, estimated 330 s, iters = {game: 1900, MDP: 1762}
> Progress 36.629%, elapsed 124 s, estimated 338 s, iters = {game: 1965, MDP: 1838}
> Progress 36.637%, elapsed 127 s, estimated 347 s, iters = {game: 2033, MDP: 1903}
> Progress 36.644%, elapsed 130 s, estimated 355 s, iters = {game: 2099, MDP: 1978}
> Progress 36.651%, elapsed 133 s, estimated 363 s, iters = {game: 2165, MDP: 2048}
> Progress 36.655%, elapsed 136 s, estimated 371 s, iters = {game: 2226, MDP: 2120}
> Progress 36.662%, elapsed 139 s, estimated 379 s, iters = {game: 2287, MDP: 2197}
> Progress 37.654%, elapsed 142 s, estimated 377 s, iters = {game: 2359, MDP: 2266}
> Progress 37.708%, elapsed 145 s, estimated 385 s, iters = {game: 2426, MDP: 2333}
> Progress 37.732%, elapsed 148 s, estimated 393 s, iters = {game: 2492, MDP: 2388}
> Progress 37.747%, elapsed 151 s, estimated 400 s, iters = {game: 2554, MDP: 2452}
> Progress 37.762%, elapsed 154 s, estimated 408 s, iters = {game: 2617, MDP: 2513}
> Progress 37.766%, elapsed 157 s, estimated 416 s, iters = {game: 2679, MDP: 2573}
> Progress 38.842%, elapsed 160 s, estimated 412 s, iters = {game: 2741, MDP: 2635}
> Progress 38.881%, elapsed 163 s, estimated 420 s, iters = {game: 2801, MDP: 2697}
> Progress 39.984%, elapsed 166 s, estimated 416 s, iters = {game: 2863, MDP: 2747}
> Progress 41.041%, elapsed 169 s, estimated 412 s, iters = {game: 2929, MDP: 2800}
> Progress 41.087%, elapsed 172 s, estimated 419 s, iters = {game: 3014, MDP: 2879}
> Progress 41.104%, elapsed 175 s, estimated 426 s, iters = {game: 3097, MDP: 2971}
> Progress 42.176%, elapsed 178 s, estimated 423 s, iters = {game: 3183, MDP: 3054}
> Progress 42.208%, elapsed 181 s, estimated 430 s, iters = {game: 3271, MDP: 3129}
> Progress 43.263%, elapsed 184 s, estimated 426 s, iters = {game: 3355, MDP: 3218}
> Progress 43.31%, elapsed 187 s, estimated 433 s, iters = {game: 3441, MDP: 3299}
> Progress 43.326%, elapsed 190 s, estimated 439 s, iters = {game: 3525, MDP: 3394}
> Progress 44.405%, elapsed 193 s, estimated 435 s, iters = {game: 3616, MDP: 3478}
> Progress 44.431%, elapsed 196 s, estimated 442 s, iters = {game: 3704, MDP: 3557}
> Progress 45.456%, elapsed 199 s, estimated 439 s, iters = {game: 3791, MDP: 3649}
> Progress 45.509%, elapsed 202 s, estimated 445 s, iters = {game: 3887, MDP: 3739}
> Progress 45.524%, elapsed 205 s, estimated 451 s, iters = {game: 3979, MDP: 3832}
> Progress 45.541%, elapsed 208 s, estimated 458 s, iters = {game: 4068, MDP: 3921}
> Progress 45.552%, elapsed 211 s, estimated 464 s, iters = {game: 4155, MDP: 4010}
> Progress 46.505%, elapsed 214 s, estimated 461 s, iters = {game: 4276, MDP: 4125}
> Progress 46.535%, elapsed 217 s, estimated 467 s, iters = {game: 4394, MDP: 4249}
> Progress 46.551%, elapsed 220 s, estimated 474 s, iters = {game: 4500, MDP: 4353}
> Progress 46.567%, elapsed 223 s, estimated 480 s, iters = {game: 4593, MDP: 4445}
> Progress 46.581%, elapsed 226 s, estimated 486 s, iters = {game: 4689, MDP: 4538}
> Progress 46.591%, elapsed 229 s, estimated 493 s, iters = {game: 4784, MDP: 4635}
> Progress 46.605%, elapsed 232 s, estimated 499 s, iters = {game: 4879, MDP: 4732}
> Progress 46.614%, elapsed 235 s, estimated 505 s, iters = {game: 4978, MDP: 4831}
> Progress 46.624%, elapsed 238 s, estimated 512 s, iters = {game: 5076, MDP: 4920}
> Progress 46.633%, elapsed 241 s, estimated 518 s, iters = {game: 5167, MDP: 5034}
> Progress 46.64%, elapsed 244 s, estimated 525 s, iters = {game: 5260, MDP: 5128}
> Progress 46.648%, elapsed 247 s, estimated 531 s, iters = {game: 5353, MDP: 5236}
> Progress 46.658%, elapsed 250 s, estimated 537 s, iters = {game: 5450, MDP: 5325}
> Progress 47.615%, elapsed 253 s, estimated 533 s, iters = {game: 5544, MDP: 5422}
> Progress 47.677%, elapsed 256 s, estimated 538 s, iters = {game: 5649, MDP: 5523}
> Progress 47.703%, elapsed 259 s, estimated 544 s, iters = {game: 5742, MDP: 5608}
> Progress 47.724%, elapsed 262 s, estimated 551 s, iters = {game: 5831, MDP: 5705}
> Progress 47.734%, elapsed 265 s, estimated 557 s, iters = {game: 5919, MDP: 5803}
> Progress 47.748%, elapsed 268 s, estimated 563 s, iters = {game: 6009, MDP: 5894}
> Progress 47.757%, elapsed 272 s, estimated 569 s, iters = {game: 6099, MDP: 5998}
> Progress 47.767%, elapsed 275 s, estimated 575 s, iters = {game: 6188, MDP: 6096}
> Progress 48.82%, elapsed 278 s, estimated 569 s, iters = {game: 6277, MDP: 6180}
> Progress 48.866%, elapsed 281 s, estimated 575 s, iters = {game: 6362, MDP: 6260}
> Progress 48.882%, elapsed 284 s, estimated 581 s, iters = {game: 6444, MDP: 6354}
> Progress 49.961%, elapsed 287 s, estimated 574 s, iters = {game: 6534, MDP: 6434}
> Progress 49.987%, elapsed 290 s, estimated 580 s, iters = {game: 6620, MDP: 6511}
> Progress 51.012%, elapsed 293 s, estimated 574 s, iters = {game: 6711, MDP: 6600}
> Progress 51.064%, elapsed 296 s, estimated 579 s, iters = {game: 6827, MDP: 6698}
> Progress 51.081%, elapsed 299 s, estimated 585 s, iters = {game: 6938, MDP: 6807}
> Progress 51.098%, elapsed 302 s, estimated 591 s, iters = {game: 7049, MDP: 6919}
> Progress 52.121%, elapsed 305 s, estimated 585 s, iters = {game: 7158, MDP: 7031}
> Progress 52.169%, elapsed 308 s, estimated 590 s, iters = {game: 7271, MDP: 7126}
> Progress 52.191%, elapsed 311 s, estimated 596 s, iters = {game: 7382, MDP: 7234}
> Progress 52.208%, elapsed 314 s, estimated 601 s, iters = {game: 7493, MDP: 7342}
> Progress 53.086%, elapsed 317 s, estimated 597 s, iters = {game: 7606, MDP: 7461}
> Progress 53.279%, elapsed 320 s, estimated 600 s, iters = {game: 7722, MDP: 7559}
> Progress 53.299%, elapsed 323 s, estimated 606 s, iters = {game: 7833, MDP: 7663}
> Progress 53.317%, elapsed 326 s, estimated 611 s, iters = {game: 7946, MDP: 7774}
> Progress 53.33%, elapsed 329 s, estimated 617 s, iters = {game: 8049, MDP: 7882}
> Progress 54.377%, elapsed 332 s, estimated 610 s, iters = {game: 8165, MDP: 7981}
> Progress 54.408%, elapsed 335 s, estimated 616 s, iters = {game: 8280, MDP: 8086}
> Progress 54.424%, elapsed 338 s, estimated 621 s, iters = {game: 8392, MDP: 8195}
> Progress 54.44%, elapsed 341 s, estimated 626 s, iters = {game: 8499, MDP: 8312}
> Progress 55.455%, elapsed 344 s, estimated 620 s, iters = {game: 8625, MDP: 8430}
> Progress 55.478%, elapsed 347 s, estimated 626 s, iters = {game: 8745, MDP: 8552}
> Progress 55.494%, elapsed 350 s, estimated 631 s, iters = {game: 8863, MDP: 8686}
> Progress 55.509%, elapsed 353 s, estimated 636 s, iters = {game: 8981, MDP: 8811}
> Progress 55.522%, elapsed 356 s, estimated 641 s, iters = {game: 9094, MDP: 8928}
> Progress 55.533%, elapsed 359 s, estimated 647 s, iters = {game: 9207, MDP: 9054}
> Progress 55.542%, elapsed 362 s, estimated 652 s, iters = {game: 9318, MDP: 9185}
> Progress 55.553%, elapsed 365 s, estimated 657 s, iters = {game: 9434, MDP: 9302}
> Progress 56.435%, elapsed 368 s, estimated 652 s, iters = {game: 9581, MDP: 9451}
> Progress 56.482%, elapsed 371 s, estimated 657 s, iters = {game: 9732, MDP: 9607}
> Progress 56.507%, elapsed 374 s, estimated 662 s, iters = {game: 9876, MDP: 9753}
> Progress 56.527%, elapsed 377 s, estimated 667 s, iters = {game: 10026, MDP: 9915}
> Progress 56.541%, elapsed 380 s, estimated 672 s, iters = {game: 10170, MDP: 10059}
> Progress 56.554%, elapsed 383 s, estimated 677 s, iters = {game: 10296, MDP: 10195}
> Progress 56.569%, elapsed 386 s, estimated 683 s, iters = {game: 10424, MDP: 10344}
> Progress 56.579%, elapsed 389 s, estimated 688 s, iters = {game: 10553, MDP: 10488}
> Progress 56.591%, elapsed 392 s, estimated 693 s, iters = {game: 10680, MDP: 10623}
> Progress 56.603%, elapsed 395 s, estimated 698 s, iters = {game: 10811, MDP: 10759}
> Progress 56.616%, elapsed 398 s, estimated 703 s, iters = {game: 10936, MDP: 10902}
> Progress 56.632%, elapsed 401 s, estimated 708 s, iters = {game: 11063, MDP: 11040}
> Progress 56.649%, elapsed 404 s, estimated 713 s, iters = {game: 11185, MDP: 11187}
> Progress 57.608%, elapsed 407 s, estimated 707 s, iters = {game: 11315, MDP: 11343}
> Progress 57.648%, elapsed 410 s, estimated 712 s, iters = {game: 11457, MDP: 11493}
> Progress 57.671%, elapsed 413 s, estimated 716 s, iters = {game: 11585, MDP: 11628}
> Progress 57.692%, elapsed 416 s, estimated 721 s, iters = {game: 11710, MDP: 11755}
> Progress 57.709%, elapsed 419 s, estimated 726 s, iters = {game: 11833, MDP: 11886}
> Progress 57.719%, elapsed 422 s, estimated 732 s, iters = {game: 11954, MDP: 12035}
> Progress 57.731%, elapsed 425 s, estimated 737 s, iters = {game: 12076, MDP: 12177}
> Progress 57.746%, elapsed 428 s, estimated 742 s, iters = {game: 12198, MDP: 12312}
> Progress 57.757%, elapsed 431 s, estimated 747 s, iters = {game: 12312, MDP: 12441}
> Progress 57.774%, elapsed 434 s, estimated 752 s, iters = {game: 12427, MDP: 12573}
> Progress 58.819%, elapsed 437 s, estimated 743 s, iters = {game: 12547, MDP: 12686}
> Progress 58.845%, elapsed 440 s, estimated 748 s, iters = {game: 12662, MDP: 12798}
> Progress 58.866%, elapsed 443 s, estimated 753 s, iters = {game: 12778, MDP: 12911}
> Progress 58.883%, elapsed 446 s, estimated 758 s, iters = {game: 12889, MDP: 13024}
> Progress 59.93%, elapsed 449 s, estimated 750 s, iters = {game: 13002, MDP: 13120}
> Progress 59.955%, elapsed 452 s, estimated 754 s, iters = {game: 13112, MDP: 13225}
> Progress 59.976%, elapsed 455 s, estimated 759 s, iters = {game: 13221, MDP: 13333}
> Progress 59.992%, elapsed 458 s, estimated 764 s, iters = {game: 13331, MDP: 13436}
> Progress 62.222%, elapsed 461 s, estimated 741 s, iters = {game: 13402, MDP: 13519}
> Progress 84.444%, elapsed 464 s, estimated 550 s, iters = {game: 13422, MDP: 13521}
> Progress 86.659%, elapsed 467 s, estimated 539 s, iters = {game: 13445, MDP: 13535}
> Progress 93.333%, elapsed 470 s, estimated 504 s, iters = {game: 13468, MDP: 13556}
> Progress 95.549%, elapsed 473 s, estimated 495 s, iters = {game: 13503, MDP: 13587}
> Progress 96.538%, elapsed 476 s, estimated 493 s, iters = {game: 13544, MDP: 13624}
> Progress 96.604%, elapsed 479 s, estimated 496 s, iters = {game: 13580, MDP: 13657}
> Progress 96.628%, elapsed 483 s, estimated 499 s, iters = {game: 13614, MDP: 13692}
> Progress 96.644%, elapsed 486 s, estimated 502 s, iters = {game: 13648, MDP: 13719}
> Progress 96.652%, elapsed 489 s, estimated 506 s, iters = {game: 13681, MDP: 13748}
> Progress 96.659%, elapsed 492 s, estimated 509 s, iters = {game: 13714, MDP: 13783}
> Progress 96.661%, elapsed 495 s, estimated 512 s, iters = {game: 13746, MDP: 13811}
> Progress 97.74%, elapsed 498 s, estimated 509 s, iters = {game: 13782, MDP: 13841}
> Progress 97.763%, elapsed 501 s, estimated 512 s, iters = {game: 13815, MDP: 13877}
--------------------
Policy tree summary:
found 4979 satisfying policies for 1612635/1620000 family members (100.0%)
policy tree has 17418 nodes, 8743 of them are leaves:
	  solvable leaves: 4979 (avg.size: 323.9)
	unsolvable leaves: 3764 (avg.size: 2.0)
	 singleton leaves: 3575
--------------------
2024-01-09 22:48:19,119 - policy_tree.py - post-processing the policy tree...
2024-01-09 22:48:19,119 - policy_tree.py - merging SAT siblings solved by non-exclusively compatible policies...
2024-01-09 22:48:19,384 - policy_tree.py - additional 12 MDPs were model checked
2024-01-09 22:48:19,384 - policy_tree.py - removed 66 nodes
2024-01-09 22:48:19,384 - policy_tree.py - merging all exclusively compatible policies...
2024-01-09 22:48:22,435 - policy_tree.py - removed 4923 policies
2024-01-09 22:48:22,435 - policy_tree.py - reducing tree height...
2024-01-09 22:48:22,593 - policy_tree.py - removed 4777 nodes
2024-01-09 22:48:22,594 - policy_tree.py - merging siblings that have the same solution...
2024-01-09 22:48:22,733 - policy_tree.py - removed 2566 nodes
2024-01-09 22:48:22,734 - policy_tree.py - postprocessing took 3 s
--------------------
Policy tree summary:
found 6 satisfying policies for 1612635/1620000 family members (100.0%)
policy tree has 10009 nodes, 6127 of them are leaves:
	  solvable leaves: 3285 (avg.size: 490.9)
	unsolvable leaves: 2842 (avg.size: 2.6)
	 singleton leaves: 1445
--------------------
2024-01-09 22:48:23,066 - synthesizer.py - evaluation finished
--------------------
Synthesis summary:
constraint 1: P>=7/10 [F ((w1 & w2) & w6)]

method: AR (policy tree), synthesis time: 508.22 s
number of holes: 8, family size: 1620000, quotient: 9007 states / 139969 actions
explored: 100 %
Game stats: avg MDP size: 1417, iterations: 13843
MDP stats: avg MDP size: 1381, iterations: 13894

satisfied 1612635/1620000 members (100%)
--------------------
model info:	states	choices	MDPs	states*MDPs	SAT MDPs	SAT %
9007 139969 1620000 14591340000 1612635 99.5
synt info:	time	nodes	nodes (merged)	policies	policies (merged)	policies(merged) / SAT %	game iters	MDP iters	iters/MDPs
508 17418 10009 4979 6 0.0 13843 13894 0.0

